directory uuid num_atoms layer_sep Step PotEng KinEng TotEng Temp E_pair v_Ereg v_Evdw c_interlayer v_latteE 
AA_calcs_popov/calc_-5029647727744300836 -5029647727744300836 200 3.0 0.0 -1946.6862 0.0 -1946.6862 0.0 440.02101 3341485.9 -48.868635 -146.60591 -2386.7072 
AA_calcs_popov/calc_9070209985137759676 9070209985137759676 200 3.2 0.0 -1898.0167 0.0 -1898.0167 0.0 505.63471 3341485.9 -26.997401 -80.992206 -2403.6514 
AA_calcs_popov/calc_6192955063038955340 6192955063038955340 200 3.35 0.0 -1876.4905 0.0 -1876.4905 0.0 534.40083 3341485.9 -17.408694 -52.226085 -2410.8913 
AA_calcs_popov/calc_3315700140940151004 3315700140940151004 200 3.5 0.0 -1862.3308 0.0 -1862.3308 0.0 553.01912 3341485.9 -11.202598 -33.607796 -2415.3499 
AA_calcs_popov/calc_438445218841346668 438445218841346668 200 3.65 0.0 -1852.8161 0.0 -1852.8161 0.0 565.23656 3341485.9 -7.130119 -21.39036 -2418.0526 
AA_calcs_popov/calc_-2438809703257457668 -2438809703257457668 200 3.8 0.0 -1846.3592 0.0 -1846.3592 0.0 573.33977 3341485.9 -4.4290485 -13.287148 -2419.6989 
AA_calcs_popov/calc_8524022316992554414 8524022316992554414 200 4.0 0.0 -1840.7752 0.0 -1840.7752 0.0 580.13001 3341485.9 -2.1656365 -6.4969122 -2420.9052 
AA_calcs_popov/calc_-1577373888032545362 -1577373888032545362 200 4.5 0.0 -1834.6245 0.0 -1834.6245 0.0 587.2205 3209567.6 0.19786037 0.59357842 -2421.845 
AA_calcs_popov/calc_-7813438383599366905 -7813438383599366905 200 5.0 0.0 -1833.0563 0.0 -1833.0563 0.0 588.92543 3165594.8 0.76616965 2.2985063 -2421.9818 
AA_calcs_popov/calc_-2475021556223132490 -2475021556223132490 200 10.0 0.0 -1834.7229 0.0 -1834.7229 0.0 587.27184 2571962.2 0.21497492 0.64492208 -2421.9948 
