directory uuid num_atoms layer_sep Step PotEng KinEng TotEng Temp E_pair v_Ereg v_Evdw c_interlayer v_latteE 
AB_calcs_popov/calc_-5029647727744300836 -5029647727744300836 200 3.0 0.0 -1937.8447 0.0 -1937.8447 0.0 456.70457 3364294.3 -43.307447 -129.92234 -2394.5493 
AB_calcs_popov/calc_9070209985137759676 9070209985137759676 200 3.2 0.0 -1893.8041 0.0 -1893.8041 0.0 513.59695 3364294.3 -24.343323 -73.02997 -2407.4011 
AB_calcs_popov/calc_6192955063038955340 6192955063038955340 200 3.35 0.0 -1873.9189 0.0 -1873.9189 0.0 539.09985 3364294.3 -15.842355 -47.527069 -2413.0187 
AB_calcs_popov/calc_3315700140940151004 3315700140940151004 200 3.5 0.0 -1860.6923 0.0 -1860.6923 0.0 555.8504 3364294.3 -10.258838 -30.776515 -2416.5427 
AB_calcs_popov/calc_438445218841346668 438445218841346668 200 3.65 0.0 -1851.7026 0.0 -1851.7026 0.0 566.97339 3364294.3 -6.5511761 -19.653531 -2418.676 
AB_calcs_popov/calc_-2438809703257457668 -2438809703257457668 200 3.8 0.0 -1845.6206 0.0 -1845.6206 0.0 574.42118 3364294.3 -4.0685787 -12.205738 -2420.0418 
AB_calcs_popov/calc_8524022316992554414 8524022316992554414 200 4.0 0.0 -1840.3451 0.0 -1840.3451 0.0 580.71487 3364294.3 -1.9706818 -5.9120478 -2421.0599 
AB_calcs_popov/calc_-1577373888032545362 -1577373888032545362 200 4.5 0.0 -1834.5287 0.0 -1834.5287 0.0 587.34975 3254362.3 0.24094558 0.72283427 -2421.8785 
AB_calcs_popov/calc_-7813438383599366905 -7813438383599366905 200 5.0 0.0 -1833.041 0.0 -1833.041 0.0 588.94649 3188403.2 0.77319067 2.3195695 -2421.9875 
AB_calcs_popov/calc_-2475021556223132490 -2475021556223132490 200 10.0 0.0 -1834.7235 0.0 -1834.7235 0.0 587.27128 2605763.8 0.21478703 0.64435862 -2421.9948 
