directory uuid num_atoms layer_sep Step PotEng KinEng TotEng Temp E_pair v_Ereg v_Evdw c_interlayer v_latteE 
AB_calcs_popov/calc_-5029647727744300836 -5029647727744300836 200 3.0 0.0 -1937.8393 0.0 -1937.8393 0.0 456.71001 3364294.3 -43.305637 -129.91691 -2394.5493 
AB_calcs_popov/calc_9070209985137759676 9070209985137759676 200 3.2 0.0 -1893.7987 0.0 -1893.7987 0.0 513.60238 3364294.3 -24.341512 -73.024539 -2407.4011 
AB_calcs_popov/calc_6192955063038955340 6192955063038955340 200 3.35 0.0 -1873.9134 0.0 -1873.9134 0.0 539.10528 3364294.3 -15.840545 -47.521637 -2413.0187 
AB_calcs_popov/calc_3315700140940151004 3315700140940151004 200 3.5 0.0 -1860.6869 0.0 -1860.6869 0.0 555.85584 3364294.3 -10.257027 -30.771084 -2416.5427 
AB_calcs_popov/calc_438445218841346668 438445218841346668 200 3.65 0.0 -1851.6972 0.0 -1851.6972 0.0 566.97882 3364294.3 -6.5493656 -19.648099 -2418.676 
AB_calcs_popov/calc_-2438809703257457668 -2438809703257457668 200 3.8 0.0 -1845.6151 0.0 -1845.6151 0.0 574.42661 3364294.3 -4.0667681 -12.200307 -2420.0418 
AB_calcs_popov/calc_8524022316992554414 8524022316992554414 200 4.0 0.0 -1840.3396 0.0 -1840.3396 0.0 580.7203 3364294.3 -1.9688712 -5.9066163 -2421.0599 
AB_calcs_popov/calc_-1577373888032545362 -1577373888032545362 200 4.5 0.0 -1834.5235 0.0 -1834.5235 0.0 587.35501 3254362.3 0.24269687 0.72808809 -2421.8785 
AB_calcs_popov/calc_-7813438383599366905 -7813438383599366905 200 5.0 0.0 -1833.0358 0.0 -1833.0358 0.0 588.95164 3188403.2 0.77490643 2.3247167 -2421.9875 
AB_calcs_popov/calc_-2475021556223132490 -2475021556223132490 200 10.0 0.0 -1834.7193 0.0 -1834.7193 0.0 587.27548 2605763.8 0.21618886 0.64856403 -2421.9948 
